Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Eval Days,Max Drawdown,Note,C-Index Type,Quantile,Model,Threshold Value,Baseline Trade Count,Delta Trade Count
39,-0.01860743401290294,56.41025641025641,-0.014764634254658302,-0.09913500214341192,45.08256880733945,218,-9.322878022338,,C_RBO_full,0.5,mlp,0.44813040248521074,88,-49
88,0.2312191386155904,59.09090909090909,0.14363737936124893,1.4487079139114079,101.72477064220183,218,-6.5941148256191795,,C_Mallows_full,0.2,mlp,0.6065306597126334,88,0
88,0.2312191386155904,59.09090909090909,0.14363737936124893,1.4487079139114079,101.72477064220183,218,-6.5941148256191795,,C_Mallows_full,0.3,mlp,0.6065306597126334,88,0
88,0.2312191386155904,59.09090909090909,0.14363737936124893,1.4487079139114079,101.72477064220183,218,-6.5941148256191795,,C_Mallows_full,0.4,mlp,0.6065306597126334,88,0
41,0.20636538282534644,60.97560975609756,0.16637578739961975,1.1453918163037844,47.39449541284404,218,-7.2008869418285215,,C_Mallows_full,0.5,mlp,0.6152575700805322,88,-47
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,C_tau_full,0.2,rf,0.0,176,0
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,C_tau_full,0.3,rf,0.0,176,0
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,C_tau_full,0.4,rf,0.0,176,0
85,0.2605616447173579,55.294117647058826,0.15043824834747885,1.4912132518764347,98.25688073394495,218,-11.171942647706512,,C_tau_full,0.5,rf,0.028571428571428574,176,-91
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,C_tau_ties3,0.2,rf,0.0,176,0
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,C_tau_ties3,0.3,rf,0.0,176,0
106,0.3267928436037096,64.15094339622641,0.19991653931032,2.21296059870562,122.53211009174312,218,-11.794827496460858,,C_tau_ties3,0.4,rf,0.05128205128205128,176,-70
103,0.30721434753295523,63.10679611650486,0.18570854373075832,2.026387605221896,119.06422018348623,218,-11.794827496460858,,C_tau_ties3,0.5,rf,0.10256410256410256,176,-73
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,C_tau_ties5,0.2,rf,0.0,176,0
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,C_tau_ties5,0.3,rf,0.0,176,0
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,C_tau_ties5,0.4,rf,0.0,176,0
95,0.19566430241623714,61.05263157894737,0.14309871902633886,1.4995797678693572,109.81651376146789,218,-11.420455771746418,,C_tau_ties5,0.5,rf,0.033333333333333326,176,-81
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,C_tau_ties10,0.2,rf,0.0,176,0
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,C_tau_ties10,0.3,rf,0.0,176,0
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,C_tau_ties10,0.4,rf,0.0,176,0
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,C_tau_ties10,0.5,rf,0.0,176,0
140,0.22785735695785964,60.0,0.14686686059129564,1.8683569547084142,161.8348623853211,218,-14.838796338952243,,C_RBO_full,0.2,rf,0.32580261645765,176,-36
127,0.2659276143705759,60.629921259842526,0.1688191747090737,2.0454819755007763,146.80733944954127,218,-13.57908881535721,,C_RBO_full,0.3,rf,0.35387698036140447,176,-49
107,0.32235663190333785,63.55140186915887,0.19728977971669998,2.1941610448904587,123.6880733944954,218,-12.079940336098982,,C_RBO_full,0.4,rf,0.3820583526673278,176,-69
90,0.2949765278619074,63.33333333333333,0.1712018567881805,1.7462312215035245,104.03669724770641,218,-11.420455771746418,,C_RBO_full,0.5,rf,0.40321581681698604,176,-86
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,C_Mallows_full,0.2,rf,0.6065306597126334,176,0
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,C_Mallows_full,0.3,rf,0.6065306597126334,176,0
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,C_Mallows_full,0.4,rf,0.6065306597126334,176,0
85,0.2605616447173579,55.294117647058826,0.15043824834747885,1.4912132518764347,98.25688073394495,218,-11.171942647706512,,C_Mallows_full,0.5,rf,0.6152575700805322,176,-91
