Model,Asset,C-Index Type,Quantile,Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Max Drawdown,Note
gbm,TLT,C_Mallows_full,0.3,15,0.4643931575736638,66.66666666666666,0.5092086694544526,3.1307016992997427,37.800000000000004,-0.7975142347922848,
gbm,TLT,C_Mallows_full,0.4,15,0.4643931575736638,66.66666666666666,0.5092086694544526,3.1307016992997427,37.800000000000004,-0.7975142347922848,
gbm,TLT,C_Mallows_full,0.5,15,0.4643931575736638,66.66666666666666,0.5092086694544526,3.1307016992997427,37.800000000000004,-0.7975142347922848,
gbm,TLT,C_RBO_full,0.2,13,0.6407344081640103,76.92307692307693,0.7571768798806802,4.333804248748504,32.760000000000005,-0.7975142347922848,
gbm,TLT,C_RBO_full,0.3,11,0.6719062538359178,81.81818181818183,0.8827220684223104,4.647512828622531,27.720000000000002,-0.7975142347922848,
gbm,TLT,C_RBO_full,0.4,11,0.6719062538359178,81.81818181818183,0.8827220684223104,4.647512828622531,27.720000000000002,-0.7975142347922848,
gbm,TLT,C_RBO_full,0.5,9,0.5612484253796247,77.77777777777779,0.7234699452238399,3.4454188009652436,22.68,-0.7975142347922848,
gbm,TLT,C_tau_full,0.2,15,0.4643931575736638,66.66666666666666,0.5092086694544526,3.1307016992997427,37.800000000000004,-0.7975142347922848,
gbm,TLT,C_tau_full,0.3,15,0.4643931575736638,66.66666666666666,0.5092086694544526,3.1307016992997427,37.800000000000004,-0.7975142347922848,
gbm,TLT,C_tau_full,0.4,15,0.4643931575736638,66.66666666666666,0.5092086694544526,3.1307016992997427,37.800000000000004,-0.7975142347922848,
gbm,TLT,C_tau_full,0.5,15,0.4643931575736638,66.66666666666666,0.5092086694544526,3.1307016992997427,37.800000000000004,-0.7975142347922848,
gbm,TLT,C_tau_ties10,0.2,15,0.4643931575736638,66.66666666666666,0.5092086694544526,3.1307016992997427,37.800000000000004,-0.7975142347922848,
gbm,TLT,C_tau_ties10,0.3,12,0.5509054116477508,75.0,0.6573270160905408,3.61470096908923,30.240000000000002,-0.7975142347922848,
gbm,TLT,C_tau_ties10,0.4,9,0.5789378325066628,77.77777777777779,0.7441045788565287,3.5436881971418863,22.68,-0.7975142347922848,
